Country/Region,dia-561,dia-560,dia-559,dia-558,dia-557,dia-556,dia-555,dia-554,dia-553,dia-552,dia-551,dia-550,dia-549,dia-548,dia-547,dia-546,dia-545,dia-544,dia-543,dia-542,dia-541,dia-540
Spain,9489,0,0,15489,7767,6818,9561,6311,0,0,9357,5528,5618,4763,4440,0,0,7804,3261,4745,1698,?
Italy,7823,6858,5954,4253,5492,6496,6754,6729,6156,5314,3347,4715,5921,5518,5617,5191,4664,2792,4009,4483,5024,?
